ID,GT_NO2
PD03,1.0425652669918658e+17
TV03,1.0421522466813389e+17
X5561,1.0566054544056034e+17
X5953,1.0577248009455822e+17
X6701,1.057573212281173e+17
X6877,1.0575774447075346e+17
PD03,1.5147224545868022e+17
TV03,1.5122273531371485e+17
X5561,1.4063990196828734e+17
X5953,1.4105277764136755e+17
X6701,1.4096818817903464e+17
X6877,1.4100091809610387e+17
PD03,1.6202934328729968e+17
TV03,1.6190367422898614e+17
X5561,1.616072228123214e+17
X5953,1.6230476319427165e+17
X6701,1.6216607916418045e+17
X6877,1.6227020341329498e+17
PD03,1.4110124858204123e+17
TV03,1.4089906077542082e+17
X5561,1.2210847578588117e+17
X5953,1.2234838122925653e+17
X6701,1.2231251390695037e+17
X6877,1.2232516805954054e+17
PD03,1.222292372880435e+17
TV03,1.2213624476725541e+17
X5561,1.0562708736205083e+17
X5953,1.2226376417219291e+17
X6701,1.0570226192468594e+17
X6877,1.2225383867117611e+17
PD03,1.221984954789605e+17
TV03,1.3146506051402053e+17
X5561,1.2209430975053827e+17
X5953,1.2228781329158995e+17
X6701,1.2225357073149099e+17
X6877,1.2226080614098654e+17
PD03,1.2225136172210147e+17
TV03,1.2220777145233982e+17
X5561,1.2209460386125781e+17
X5953,1.2235349934923109e+17
X6701,1.2231610697949206e+17
X6877,1.22329999908232e+17
PD03,1.2219343766814136e+17
TV03,1.2210467463708949e+17
X5561,1.2200034775967166e+17
X5953,1.2224313374101696e+17
X6701,1.2221057899975934e+17
X6877,1.2222062773470563e+17
PD03,1.7675063503899488e+17
TV03,1.7646840289352995e+17
X5561,1.6105242096599808e+17
X5953,1.7707520523579738e+17
X6701,1.7689067866751603e+17
X6877,1.7689022334308432e+17
PD03,1.615643884125522e+17
TV03,1.6142215536335245e+17
X5561,1.611351963684641e+17
X5953,1.6190768397709514e+17
X6701,1.6176444582589795e+17
X6877,1.6183686353138026e+17
PD03,1.2223097988504661e+17
TV03,1.2214192129152843e+17
X5561,1.1383243964216797e+17
X5953,1.2228546865842613e+17
X6701,1.2224062331272288e+17
X6877,1.2225547979195466e+17
PD03,1.0570433748736093e+17
TV03,1.0565238149101482e+17
X5561,1.138230213224621e+17
X5953,1.0572370572507448e+17
X6701,1.139717954322206e+17
X6877,1.0571360520165046e+17
PD03,1.2210930850599702e+17
TV03,1.2208468601234922e+17
X5561,1.0558523745871704e+17
X5953,1.0569005230502459e+17
X6701,1.056687013844951e+17
X6877,1.2219517841402365e+17
PD03,1.4056115617210219e+17
TV03,1.4050937306198725e+17
X5561,1.2197508882700854e+17
X5953,1.3149258327836771e+17
X6701,1.2214815905110021e+17
X6877,1.4071738075851045e+17
PD03,1.2225786486887984e+17
TV03,1.2214668114701536e+17
X5561,1.0563874901381709e+17
X5953,1.222768236577128e+17
X6701,1.0571894244244128e+17
X6877,1.2226353718371243e+17
PD03,1.0569645348533595e+17
TV03,1.0567213905023168e+17
X5561,1.0563222894446083e+17
X5953,1.057439837743973e+17
X6701,1.0573217428164854e+17
X6877,1.0570079766805925e+17
PD03,1.0567163641738184e+17
TV03,1.0563237956613504e+17
X5561,1.0558623907734282e+17
X5953,1.0568933954811819e+17
X6701,1.0567164804654171e+17
X6877,1.0568123427531056e+17
PD03,1.4083650790053406e+17
TV03,1.4064570816724821e+17
X5561,1.4044216462865286e+17
X5953,1.408976788440184e+17
X6701,1.40791977309189e+17
X6877,1.408601205633462e+17
PD03,1.4087396517368293e+17
TV03,1.4070112636939408e+17
X5561,1.4048634746799102e+17
X5953,1.4095023581611549e+17
X6701,1.4088780254247714e+17
X6877,1.4090238087616342e+17
PD03,1.4082762281830336e+17
TV03,1.4068230094606157e+17
X5561,1.4048130041735438e+17
X5953,1.409359030880841e+17
X6701,1.4086179789836549e+17
X6877,1.408852486512249e+17
PD03,1.6201300539079974e+17
TV03,1.616144448537192e+17
X5561,1.612433898639815e+17
X5953,1.6202739912954144e+17
X6701,1.6188162957920285e+17
X6877,1.619631307846716e+17
PD03,1.5110763475692634e+17
TV03,1.5095775483258733e+17
X5561,1.6102207818110915e+17
X5953,1.6178063848786544e+17
X6701,1.6166909322228336e+17
X6877,1.617319178984042e+17
PD03,1.6129328749410102e+17
TV03,1.6105566038108957e+17
X5561,1.7575919477091888e+17
X5953,1.614623294752071e+17
X6701,1.765394038294514e+17
X6877,1.6142779950185552e+17
PD03,1.6145490767592947e+17
TV03,1.6115309819098902e+17
X5561,1.6085494443733802e+17
X5953,1.615860548730903e+17
X6701,1.614549892755638e+17
X6877,1.6150671000718538e+17
PD03,1.4067996793711315e+17
TV03,1.4057226930264186e+17
X5561,1.4037962518832694e+17
X5953,1.4079956817375322e+17
X6701,1.4072927104372986e+17
X6877,1.407719211144928e+17
PD03,1.2211974859033477e+17
TV03,1.220681575093585e+17
X5561,1.2194581785724059e+17
X5953,1.2219437492263544e+17
X6701,1.221447549484462e+17
X6877,1.2218072999813965e+17
PD03,1.4052111326476398e+17
TV03,1.4043264739211776e+17
X5561,1.4022623384904205e+17
X5953,1.4066366593233152e+17
X6701,1.4058890642784696e+17
X6877,1.4062476746682589e+17
PD03,1.7671291448673286e+17
TV03,1.6853742378993888e+17
X5561,1.7572293897801277e+17
X5953,1.7672897329469792e+17
X6701,1.7657411890461766e+17
X6877,1.7661606785409357e+17
PD03,1.6147506608231494e+17
TV03,1.6133699606246557e+17
X5561,1.4029308888162882e+17
X5953,1.6175808679830256e+17
X6701,1.6159161817122256e+17
X6877,1.6170417503641853e+17
PD03,1.613503704200391e+17
TV03,1.611385356253106e+17
X5561,1.758084692461333e+17
X5953,1.63494837874469e+17
X6701,1.7669843839245354e+17
X6877,1.614799627967178e+17
PD03,1.6156095632147786e+17
TV03,1.6124166789185802e+17
X5561,1.4029261587254974e+17
X5953,1.616581070750207e+17
X6701,1.4066990184744408e+17
X6877,1.6159823970743725e+17
PD03,1.6159155125793533e+17
TV03,1.6159357566745206e+17
X5561,1.6159287225922496e+17
X5953,1.2210326954409294e+17
X6701,1.2210669755161906e+17
X6877,1.2208912949843536e+17
PD03,1.6144922300546845e+17
TV03,1.4042042098652526e+17
X5561,1.6080004873490506e+17
X5953,1.61496095729163e+17
X6701,1.6139409748343702e+17
X6877,1.614516519948867e+17
PD03,1.76868728483596e+17
TV03,1.688630569282012e+17
X5561,1.7602441631481472e+17
X5953,1.7706907743047123e+17
X6701,1.7685357330853142e+17
X6877,1.7696743035555338e+17
PD03,1.4105074896275088e+17
TV03,1.408760923828923e+17
X5561,1.4071461166587526e+17
X5953,1.4112618203419906e+17
X6701,1.4105119022501331e+17
X6877,1.4109382222518426e+17
PD03,1.4099144271397173e+17
TV03,1.4087408114039784e+17
X5561,1.2211853594315728e+17
X5953,1.2234703084339152e+17
X6701,1.2231057188254843e+17
X6877,1.2232398885597677e+17
PD03,1.0577653150991133e+17
TV03,1.0572244472635434e+17
X5561,1.0566131662751202e+17
X5953,1.0576690814509778e+17
X6701,1.0575038253888656e+17
X6877,1.0575026415555722e+17
PD03,1.0569018115806088e+17
TV03,1.0569120122219867e+17
X5561,1.2203334640312174e+17
X5953,1.1402478605835958e+17
X6701,1.057385008303718e+17
X6877,1.1400655893667406e+17
PD03,1.139952370183362e+17
TV03,1.2219828667560322e+17
X5561,1.0561983570753133e+17
X5953,1.0573171368402202e+17
X6701,1.0572035410046347e+17
X6877,1.140189450928316e+17
PD03,1.0571713060075e+17
TV03,1.0569981419199186e+17
X5561,1.0564493677690117e+17
X5953,1.0564541199230429e+17
X6701,1.0572761216218349e+17
X6877,1.057404747369718e+17
PD03,1.0569172959712957e+17
TV03,1.0567187943581738e+17
X5561,1.056181304156089e+17
X5953,1.0572910070533606e+17
X6701,1.0570985612862582e+17
X6877,1.0572358356047184e+17
PD03,1.7676079483327942e+17
TV03,1.7665367190406618e+17
X5561,1.611738247942317e+17
X5953,1.7730684157830054e+17
X6701,1.7724166168024938e+17
X6877,1.772144481837455e+17
PD03,1.223017485849701e+17
TV03,1.2222372601349338e+17
X5561,1.0568000988398566e+17
X5953,1.0578938309087912e+17
X6701,1.0576423702709122e+17
X6877,1.0577663816759662e+17
PD03,1.2243472841036022e+17
TV03,1.2231051547516038e+17
X5561,1.2224569976402674e+17
X5953,1.2244466219013565e+17
X6701,1.2242607980595754e+17
X6877,1.2243470044489446e+17
PD03,1.223552459614302e+17
TV03,1.2227855786994934e+17
X5561,1.2221717408984416e+17
X5953,1.2243935997438942e+17
X6701,1.2241113915586309e+17
X6877,1.2242334014600834e+17
PD03,1.2237040755528597e+17
TV03,1.2231345672400144e+17
X5561,1.2220142024136472e+17
X5953,1.2242506296770246e+17
X6701,1.223959800612914e+17
X6877,1.2240872192088131e+17
PD03,1.0581406222364366e+17
TV03,1.057716081327229e+17
X5561,1.0572640414600998e+17
X5953,1.0580778768681133e+17
X6701,1.0580165395129462e+17
X6877,1.0580683819023342e+17
PD03,1.2232472545155552e+17
TV03,1.2227782493961877e+17
X5561,1.2216584231191192e+17
X5953,1.2238815411645941e+17
X6701,1.2234403562652488e+17
X6877,1.2237625725758554e+17
PD03,1.2232885737993165e+17
TV03,1.2224579678938291e+17
X5561,1.221391709357054e+17
X5953,1.2236081757295426e+17
X6701,1.2234226307771797e+17
X6877,1.2233898705352384e+17
PD03,1.2232083979617726e+17
TV03,1.2221309075289211e+17
X5561,1.2212023671528378e+17
X5953,1.223603883283896e+17
X6701,1.223075223253556e+17
X6877,1.2233389166361205e+17
PD03,1.2234091227113803e+17
TV03,1.2225157925160128e+17
X5561,1.2212241390694266e+17
X5953,1.2236725271828552e+17
X6701,1.2233443599003755e+17
X6877,1.2230626343768296e+17
PD03,1.0578085020861128e+17
TV03,1.057685162429296e+17
X5561,1.0571586829403147e+17
X5953,1.0580683400786114e+17
X6701,1.0578997876417422e+17
X6877,1.0579223649284813e+17
PD03,1.0576804595714027e+17
TV03,1.0571923120813757e+17
X5561,1.007809318130454e+17
X5953,1.0580663452024538e+17
X6701,1.057907934403401e+17
X6877,1.0579401593104896e+17
PD03,1.0578706468252736e+17
TV03,1.0578004347910875e+17
X5561,1.057276951376577e+17
X5953,1.0581161848824846e+17
X6701,1.057999653665846e+17
X6877,1.0580106628008338e+17
PD03,1.0577075284203853e+17
TV03,1.0575135422595712e+17
X5561,1.0570834224142568e+17
X5953,1.0583367326721778e+17
X6701,1.0582233486161325e+17
X6877,1.057980088338987e+17
PD03,1.0580901827946096e+17
TV03,1.0580456376773088e+17
X5561,1.0574927004549997e+17
X5953,1.058447560623646e+17
X6701,1.0583088967673571e+17
X6877,1.058188140562947e+17
PD03,1.057696252393913e+17
TV03,1.0575174159250648e+17
X5561,1.0569420126400742e+17
X5953,1.0581076760942946e+17
X6701,1.0578238468977882e+17
X6877,1.0579548047011408e+17
PD03,9.586947345558336e+16
TV03,9.587675925932256e+16
X5561,9.583873218899166e+16
X5953,9.587231240892437e+16
X6701,9.587644344052933e+16
X6877,9.588156397029051e+16
PD03,1.057521323153432e+17
TV03,1.057389591031853e+17
X5561,1.0568728671130549e+17
X5953,1.0579466711118738e+17
X6701,1.057674652202176e+17
X6877,1.0577469565198125e+17
PD03,1.4090835743220645e+17
TV03,1.4068406812692787e+17
X5561,1.4050918675076696e+17
